POLLENID	SITE	X	Y	GridCell
1	Aino	751858.9036	4729973.881	170
2	Benson	656802.1	4693457	39	NA
3	Berry W	638112.0236	4707217.378	24
4	Blood	751296.7238	4663125.645	165
5	Doe	689797.6543	4671762.748	85
6	Green	704298.5828	4715735.449	105
7	Larkum	660253.5398	4669917.797	53
8	Lily NS	718293.6545	4699614.085	120
9	Lily W	718193.8052	4729614.778	122
10	Little Bolton	780714.1888	4702274.066	216
11	Little Mirror	778523.5471	4713689.673	201
12	Little Royalst	730085.6515	4728548.465	138
13	North Round	708199.7439	4747085.03	124
14	North	659512.5741	4723895.825	58
15	Otter	702204.4249	4725565.986	106
16	Pecker	748535.5362	4733412.044	170
17	Pickerel	707820.3139	4671715.71	117
18	Quag	749774.576	4717221.699	169
19	Silver	727293.2483	4720214.816	137
20	Snake	744892.3447	4715824.751	169
21	Uncas	799751.4045	4663087.24	229
22	Walden	801202.9386	4705027.557	232
23	Wickett	710837.2159	4714152.369	121
