Spp_Name,Spp_Number,DMAX,DMIN,B3,B2,ITOL,AGEMX,G,SPRTND,SPRTMN,SPRTMX,MPLANT,D3,FROST,TL,CM1,CM2,CM3,CM4,CM5,FWT,SLTA,SLTB,RTST,FRT
maple,1,4700,1600,0.1988,47.72,2,125,212,31,6,50,20,0.268,-12,2,2.79,219.77,0.00179,-0.6,1,440,0.814,0.078,1,1
birch,2,2500,1100,0.5013,76.4,1,250,106,43,12,100,120,0.2,-18,4,2.94,117.52,0.00234,-1.2,1.3,248,0.804,0.069,0.8,1
hickory,3,5993,1910,0.2663,53.26,1,300,82,631,12,200,20,0.3,-4,4,2.94,117.52,0.00234,-1.2,1.3,248,0.804,0.069,0.8,1
chestnut,4,4571,1910,0.1495,44.84,1,300,102,63,12,200,20,0.3,-2,2,2.99,207.43,0.00175,-5,2.9,440,0.814,0.078,1,1
beech,5,5537,1326,0.2863,57.26,1,366,72,172,6,30,40,0.2,-12,8,2.94,117.52,0.00234,-1.2,1.3,440,0.904,0.095,1,1
spruce,6,1911,280,0.7105,90.96,1,200,132,3,0,0,16,0.309,-30,11,2.79,219.77,0.00179,-0.6,1,440,0.804,0.069,1,3
pine,7,3165,1100,0.1495,44.84,2,450,68,37,0,0,140,0.31,-20,12,2.79,200,0.00179,-0.6,1,440,0.804,0.069,1,2
hemlock,8,3800,1324,0.1495,44.84,1,650,47,0,0,0,8,0.18,-12,6,2.79,219.77,0.00179,-0.6,1,440,0.804,0.069,1,3
oak,9,4571,1100,0.2863,57.26,1,400,66,32,12,40,40,0.225,-12,9,2.94,117.52,0.00234,-1.2,1.3,440,0.904,0.095,1,1
elm,10,6960,1204,0.3692,59.08,2,300,73,982,6,240,20,0.33,-20,5,2.94,117.52,0.00234,-1.2,1.3,440,0.804,0.069,1,1
tamarack,11,2660,280,0.4201,63.01,2,335,66,110,0,0,8,0.267,-29,12,2.79,219.77,0.00179,-0.6,1,440,0.804,0.069,1,1
ash,12,5482,1050,0.2863,57.26,2,150,176,1,6,50,40,0.114,-23,2,2.99,207.43,0.00175,-5,2.9,440,0.428,0.074,1,1
poplar,13,2461,743,0.3668,55.01,2,125,157,83,20,150,200,0.267,-30,7,2.79,219.77,0.00179,-0.6,1,248,0.804,0.069,0.5,1
basswood,14,3137,1400,0.2863,57.26,1,140,188,73,12,80,20,0.2,-17,2,2.99,207.43,0.00175,-5,2.9,440,0.814,0.078,1,1
